subj,condition,ageday,exp_look,unexp_look,sex,paper
33,1_Observation,119.6292,12.35,11.81,Female,gerson2014a
34,1_Observation,104.4092,4.69,1.32,Female,gerson2014a
35,1_Observation,97.408,33.4,5.92,Female,gerson2014a
36,1_Observation,106.54,5.24,1.37,Female,gerson2014a
37,1_Observation,119.6292,1.18,2.58,Male,gerson2014a
38,1_Observation,110.4972,3.2,5.8,Female,gerson2014a
39,1_Observation,98.3212,8.21,4.15,Male,gerson2014a
40,1_Observation,110.4972,2.34,3.01,Male,gerson2014a
41,1_Observation,99.5388,3.3,2.07,Female,gerson2014a
42,1_Observation,119.6292,4.93,14.53,Male,gerson2014a
43,1_Observation,106.54,3.35,1.59,Male,gerson2014a
44,1_Observation,110.4972,2.45,1.79,Female,gerson2014a
45,1_Observation,105.6268,6.46,5.57,Female,gerson2014a
46,1_Observation,116.5852,3.37,6.92,Female,gerson2014a
47,1_Observation,91.32,33.88,10.43,Female,gerson2014a
48,1_Observation,121.76,1.73,1.61,Male,gerson2014a
49,1_Control,108.6708,12.48,3.38,Male,gerson2014a
50,1_Control,104.4092,24.05,13.22,Female,gerson2014a
51,1_Control,108.6708,32.4,17.9,Female,gerson2014a
52,1_Control,91.32,4.53,9.64,Female,gerson2014a
53,1_Control,106.54,20.14,3.03,Female,gerson2014a
54,1_Control,100.452,1.32,6.3,Female,gerson2014a
55,1_Control,94.364,13.9,28.39,Male,gerson2014a
56,1_Control,92.2332,9.74,3.83,Male,gerson2014a
57,1_Control,95.2772,9.32,8.64,Female,gerson2014a
58,1_Control,100.452,2.36,1.31,Male,gerson2014a
59,1_Control,103.496,6.88,9.21,Female,gerson2014a
60,1_Control,110.4972,2.99,3.82,Male,gerson2014a
61,1_Control,120.8468,32.25,24.87,Male,gerson2014a
62,1_Control,100.452,2.1,2.8,Male,gerson2014a
63,1_Control,118.716,1.33,3.13,Male,gerson2014a
64,1_Control,107.4532,7.5,2.94,Male,gerson2014a
65,1_Control,104.4092,3.78,6.68,Male,gerson2014a
66,1_Control,109.584,4.19,5.16,Male,gerson2014a
67,1_Control,103.496,1.7,2.67,Female,gerson2014a
68,1_Control,104.4092,3.87,6.24,Female,gerson2014a
69,1_Control,108.6708,2.01,0.58,Female,gerson2014a
70,1_Control,100.452,35.46,17.86,Female,gerson2014a
71,1_Control,104.4092,12.17,8.71,Male,gerson2014a
72,1_Control,114.7588,5.26,1.77,Female,gerson2014a
1,1_Active,106.54,2.81,5.36,f,gerson2014b
2,1_Active,98.3212,5.89,4.24,m,gerson2014b
3,1_Active,119.6292,4.48,18.61,m,gerson2014b
4,1_Active,104.4092,3.99,2.15,f,gerson2014b
5,1_Active,116.5852,2.29,6.68,f,gerson2014b
6,1_Active,105.6268,5.89,16.85,f,gerson2014b
7,1_Active,96.4948,3.67,4.5,m,gerson2014b
8,1_Active,106.54,6.49,7.95,m,gerson2014b
9,1_Active,116.5852,5.42,12.54,m,gerson2014b
10,1_Active,125.7172,3.42,2.25,f,gerson2014b
11,1_Active,113.5412,1.97,1.95,f,gerson2014b
12,1_Active,119.6292,9.08,14.44,m,gerson2014b
13,1_Active,104.4092,4.72,10.55,f,gerson2014b
14,1_Active,105.6268,6.03,9.9,f,gerson2014b
15,1_Active,111.7148,3.11,10.2,m,gerson2014b
16,1_Active,91.32,2.96,2.23,m,gerson2014b
17,1_Active,94.364,4.4,34.12,f,gerson2014b
18,1_Active,120.8468,13.27,3.38,m,gerson2014b
19,1_Active,110.4972,5.98,1.14,f,gerson2014b
20,1_Active,109.584,3.81,31.49,f,gerson2014b
21,1_Active,97.408,11.47,13.73,m,gerson2014b
22,1_Active,93.4508,17.19,16.59,m,gerson2014b
23,1_Active,119.6292,6.87,0.81,f,gerson2014b
24,1_Active,107.4532,13.76,7.9,m,gerson2014b
25,1_Active,107.4532,0.85,1.45,f,gerson2014b
26,1_Active,95.2772,3.98,4.15,m,gerson2014b
27,1_Active,102.5828,4.49,2.4,f,gerson2014b
28,1_Active,107.4532,1.07,2.83,m,gerson2014b
29,1_Active,94.364,5.57,3.44,f,gerson2014b
30,1_Active,121.76,19.64,29.22,m,gerson2014b
31,1_Observation,104.4092,7.87,3.23,f,gerson2014b
32,1_Observation,104.4092,4.39,5.47,m,gerson2014b
33,1_Observation,119.6292,3.18,2.96,m,gerson2014b
34,1_Observation,97.408,4.38,2.9,f,gerson2014b
35,1_Observation,118.716,1.53,3.18,f,gerson2014b
36,1_Observation,105.6268,10.91,9.76,f,gerson2014b
37,1_Observation,125.7172,2.24,1.81,m,gerson2014b
38,1_Observation,104.4092,10.13,10.76,m,gerson2014b
39,1_Observation,115.672,2.46,3.26,m,gerson2014b
40,1_Observation,98.3212,9.82,9.56,m,gerson2014b
41,1_Observation,118.716,0.49,1.32,f,gerson2014b
42,1_Observation,119.6292,7.34,4.82,m,gerson2014b
43,1_Observation,100.452,52.53,17.25,f,gerson2014b
44,1_Observation,97.408,12.24,16.43,f,gerson2014b
45,1_Observation,111.7148,1.73,1.99,m,gerson2014b
46,1_Observation,95.2772,39.79,20.73,m,gerson2014b
47,1_Observation,92.2332,8.8,4.75,f,gerson2014b
48,1_Observation,119.6292,1.47,5.2,m,gerson2014b
49,1_Observation,111.7148,13.64,9.61,f,gerson2014b
50,1_Observation,98.3212,14.99,4.36,f,gerson2014b
51,1_Observation,96.4948,28.26,35.27,m,gerson2014b
52,1_Observation,99.5388,14.59,6.85,f,gerson2014b
53,1_Observation,113.5412,10.79,12.48,f,gerson2014b
54,1_Observation,114.7588,6.75,2.85,m,gerson2014b
55,1_Observation,95.2772,6.12,31.9,f,gerson2014b
56,1_Observation,93.4508,2.95,19.34,m,gerson2014b
57,1_Observation,97.408,6.49,1.33,f,gerson2014b
58,1_Observation,113.5412,3.84,5.24,f,gerson2014b
59,1_Observation,95.2772,9.67,12.38,f,gerson2014b
60,1_Observation,104.4092,4.49,2.83,f,gerson2014b
61,2_Generalization,121.76,4.38,3.66,f,gerson2014b
62,2_Generalization,109.584,2.18,0.18,m,gerson2014b
63,2_Generalization,118.716,1.98,1.83,m,gerson2014b
64,2_Generalization,115.672,2.38,1.59,f,gerson2014b
65,2_Generalization,122.6732,3.84,4.07,f,gerson2014b
66,2_Generalization,110.4972,2.32,2.74,m,gerson2014b
67,2_Generalization,116.5852,2.32,6.21,m,gerson2014b
68,2_Generalization,109.584,2.95,4.27,m,gerson2014b
69,2_Generalization,113.5412,7.39,2.25,f,gerson2014b
70,2_Generalization,107.4532,2.93,5.27,m,gerson2014b
71,2_Generalization,112.628,1.21,1.57,m,gerson2014b
72,2_Generalization,106.54,2.98,2.24,m,gerson2014b
73,2_Generalization,118.716,5.18,3.56,f,gerson2014b
74,2_Generalization,118.716,1.28,0.93,f,gerson2014b
75,2_Generalization,111.7148,6.52,1.19,m,gerson2014b
76,2_Generalization,121.76,8.22,14.14,m,gerson2014b
77,2_Generalization,108.6708,11.47,11.39,m,gerson2014b
78,2_Generalization,109.584,3.26,7.92,f,gerson2014b
79,2_Generalization,114.7588,2.4,12.82,f,gerson2014b
80,2_Generalization,94.364,12.19,9.34,f,gerson2014b
81,2_Generalization,95.2772,5.79,7.74,m,gerson2014b
82,2_Generalization,102.5828,14.41,14.04,m,gerson2014b
83,2_Generalization,116.5852,9.18,3.77,f,gerson2014b
84,2_Generalization,109.584,6.13,4.72,f,gerson2014b
85,2_Generalization,119.6292,12.87,7.55,m,gerson2014b
86,2_Generalization,108.6708,9.16,25.15,f,gerson2014b
87,2_Generalization,107.4532,4.86,13.45,f,gerson2014b
88,2_Generalization,121.76,5.32,6.32,f,gerson2014b
89,2_Generalization,111.7148,17.85,13.98,f,gerson2014b
90,2_Generalization,125.7172,23.2,19.44,m,gerson2014b
1,1_equidistant,126.76,14.6,9.25,M,choi_unpublished
2,1_equidistant,126.76,12.9,23,M,choi_unpublished
3,1_equidistant,105.32,6.9,12.3,M,choi_unpublished
4,1_equidistant,85.88,36.9,57.5,M,choi_unpublished
5,1_equidistant,119.32,7.3,7.45,M,choi_unpublished
6,1_equidistant,115.32,24.1,33.9,M,choi_unpublished
7,1_equidistant,130.76,20.9,12.4,F,choi_unpublished
8,1_equidistant,137.76,25.65,32.5,F,choi_unpublished
9,1_equidistant,115.32,13.55,6.55,F,choi_unpublished
