"","subj","paper","MA_condition","ageday","exp_look","unexp_look","sex","experiment","condition","task","training_yesno","action_consequence","actor_hand","agent_efficient_fam","object_diff_size_huge","action_causal","location_object_goal_ambiguous","bothobjects_present_visible_fam","agent","PI_group","look_pref"
"66","66","skerry2013","2_ineffectiveactiontraining",108,10.2,10.866667,"m","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",0.666667
"67","67","skerry2013","2_ineffectiveactiontraining",98,4.033333,5.433333,"m","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.4
"68","68","skerry2013","2_ineffectiveactiontraining",107,10.166667,13.7,"m","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",3.533333
"69","69","skerry2013","2_ineffectiveactiontraining",102,13.766667,9.066667,"f","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-4.7
"70","70","skerry2013","2_ineffectiveactiontraining",122,11.466667,13.233333,"f","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.766666
"71","71","skerry2013","2_ineffectiveactiontraining",115,6.933333,11.7,"m","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",4.766667
"72","72","skerry2013","2_ineffectiveactiontraining",97,6.333333,4.533333,"f","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-1.8
"73","73","skerry2013","2_ineffectiveactiontraining",97,14.566667,7.9,"m","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-6.666667
"74","74","skerry2013","2_ineffectiveactiontraining",102,8.1,4.266667,"m","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-3.833333
"75","75","skerry2013","2_ineffectiveactiontraining",109,21.166667,22,"m","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",0.833333
"76","76","skerry2013","2_ineffectiveactiontraining",93,10.133333,11.7,"f","2","2_ineffectiveactiontraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.566667
"77","77","skerry2013","3_notraining",107,6.4,4.5,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-1.9
"78","78","skerry2013","3_notraining",118,2.3,2.2,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.0999999999999996
"79","79","skerry2013","3_notraining",108,8.166667,12.066667,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",3.9
"80","80","skerry2013","3_notraining",118,14.433333,7.533333,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-6.9
"81","81","skerry2013","3_notraining",118,7.4,10.166667,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.766667
"82","82","skerry2013","3_notraining",111,18.466667,6.466667,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-12
"83","83","skerry2013","3_notraining",91,18.733333,14.833333,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-3.9
"84","84","skerry2013","3_notraining",108,22.066667,15.666667,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-6.4
"85","85","skerry2013","3_notraining",93,11.166667,8.133333,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-3.033334
"86","86","skerry2013","3_notraining",120,24.2,9.933333,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-14.266667
