"","subj","paper","MA_condition","ageday","exp_look","unexp_look","sex","experiment","condition","task","training_yesno","action_consequence","actor_hand","agent_efficient_fam","object_diff_size_huge","action_causal","location_object_goal_ambiguous","bothobjects_present_visible_fam","agent","PI_group","look_pref"
"328","328","choi_unpub","1_equidistant",118.32,55.1,43.45,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-11.65
"329","329","choi_unpub","1_equidistant",124.76,19.25,10.65,"m","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-8.6
"330","330","choi_unpub","1_equidistant",112.32,13.35,39.1,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",25.75
"331","331","choi_unpub","1_equidistant",98.32,35.2,34,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-1.2
"332","332","choi_unpub","1_equidistant",106.32,28,12.9,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-15.1
"333","333","choi_unpub","1_equidistant",94.32,8.1,46.8,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",38.7
"334","334","choi_unpub","1_equidistant",109.32,33.75,38,"f","1","1_equidistant","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",4.25
"335","335","choi_unpub","1_neartarget",97.32,39.2,60,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",20.8
"336","336","choi_unpub","1_neartarget",106.32,40.85,24.05,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-16.8
"337","337","choi_unpub","1_neartarget",93.32,51.55,32.8,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-18.75
"338","338","choi_unpub","1_neartarget",75.88,49.2,16.95,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-32.25
"339","339","choi_unpub","1_neartarget",75.88,45.15,60,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",14.85
"340","340","choi_unpub","1_neartarget",112.32,10,11.55,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",1.55
"341","341","choi_unpub","1_neartarget",80.88,32.5,59.7,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",27.2
"342","342","choi_unpub","1_neartarget",74.88,40.75,35.65,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-5.1
"343","343","choi_unpub","1_neartarget",99.32,60,51.2,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-8.8
"344","344","choi_unpub","1_neartarget",122.76,14.15,23.2,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",9.05
"345","345","choi_unpub","1_neartarget",77.88,60,45.8,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-14.2
"346","346","choi_unpub","1_neartarget",100.32,15.3,27.45,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",12.15
"347","347","choi_unpub","1_neartarget",101.32,8.2,15.2,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",7
"348","348","choi_unpub","1_neartarget",104.32,9,13.25,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",4.25
"349","349","choi_unpub","1_neartarget",107.32,21.1,23.3,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",2.2
"350","350","choi_unpub","1_neartarget",105.32,8.2,6.6,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-1.6
"351","351","choi_unpub","1_neartarget",78.88,60,42.15,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-17.85
"352","352","choi_unpub","1_neartarget",124.76,27.55,7.45,"m","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-20.1
"353","353","choi_unpub","1_neartarget",86.88,33.3,9.8,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-23.5
"354","354","choi_unpub","1_neartarget",82.88,14.15,23.7,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",9.55
"355","355","choi_unpub","1_neartarget",110.32,12.35,8.95,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-3.4
"356","356","choi_unpub","1_neartarget",98.32,8.3,33.2,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",24.9
"357","357","choi_unpub","1_neartarget",77.88,32.1,37.2,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",5.1
"358","358","choi_unpub","1_neartarget",127.76,33.95,8.5,"f","1","1_neartarget","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-25.45
"359","359","choi_unpub","1_fartarget",122.76,11.8,12.35,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",0.549999999999999
"360","360","choi_unpub","1_fartarget",84.88,60,42.05,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-17.95
"361","361","choi_unpub","1_fartarget",93.32,40,26.2,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-13.8
"362","362","choi_unpub","1_fartarget",85.88,54.4,60,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",5.6
"363","363","choi_unpub","1_fartarget",104.32,24.6,34.95,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",10.35
"364","364","choi_unpub","1_fartarget",116.32,10.5,11.7,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",1.2
"365","365","choi_unpub","1_fartarget",72.88,41.65,49.15,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",7.5
"366","366","choi_unpub","1_fartarget",114.32,8.45,14.15,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",5.7
"367","367","choi_unpub","1_fartarget",92.32,41.7,29.3,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-12.4
"368","368","choi_unpub","1_fartarget",130.76,9.35,7.7,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-1.65
"369","369","choi_unpub","1_fartarget",75.88,60,40.35,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-19.65
"370","370","choi_unpub","1_fartarget",126.76,19.1,23.3,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",4.2
"371","371","choi_unpub","1_fartarget",84.88,28.4,20.45,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-7.95
"372","372","choi_unpub","1_fartarget",78.88,5.9,37.6,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",31.7
"373","373","choi_unpub","1_fartarget",96.32,15.6,7.65,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-7.95
"374","374","choi_unpub","1_fartarget",108.32,46.15,60,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",13.85
"375","375","choi_unpub","1_fartarget",107.32,37.25,26.25,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-11
"376","376","choi_unpub","1_fartarget",80.88,23.4,10.6,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-12.8
"377","377","choi_unpub","1_fartarget",105.32,56,60,"m","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",4
"378","378","choi_unpub","1_fartarget",81.88,15.85,16.45,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",0.6
"379","379","choi_unpub","1_fartarget",93.32,13.9,20.35,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",6.45
"380","380","choi_unpub","1_fartarget",108.32,6.65,6.25,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-0.4
"381","381","choi_unpub","1_fartarget",101.32,11.75,20.45,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",8.7
"382","382","choi_unpub","1_fartarget",97.32,47.1,6.95,"f","1","1_fartarget","goals","no","none","bare",NA,"yes","no","yes","no","person","luo",-40.15
"383","383","choi2018","1_twoobject",130.76,9.85,19.05,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",9.2
"384","384","choi2018","1_twoobject",89.88,39.1,60,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",20.9
"385","385","choi2018","1_twoobject",81.88,6.6,29.8,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",23.2
"386","386","choi2018","1_twoobject",111.32,9.7,5.55,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-4.15
"387","387","choi2018","1_twoobject",99.32,42.05,37.45,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-4.59999999999999
"388","388","choi2018","1_twoobject",85.88,7.3,22.3,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",15
"389","389","choi2018","1_twoobject",109.32,59.25,60,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",0.75
"390","390","choi2018","1_twoobject",112.32,5.05,7.95,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",2.9
"391","391","choi2018","1_twoobject",89.88,23.65,18.4,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-5.25
"392","392","choi2018","1_twoobject",97.32,60,50.65,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-9.35
"393","393","choi2018","1_twoobject",113.32,44.6,60,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",15.4
"394","394","choi2018","1_twoobject",114.32,28.6,60,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",31.4
"395","395","choi2018","1_twoobject",109.32,20.2,10.25,"m","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-9.95
"396","396","choi2018","1_twoobject",109.32,5.45,7.8,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",2.35
"397","397","choi2018","1_twoobject",103.32,7.05,6.6,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-0.45
"398","398","choi2018","1_twoobject",77.88,45.3,60,"f","1","1_twoobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",14.7
"399","399","choi2018","1_oneobject",119.32,35.5,26.9,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-8.6
"400","400","choi2018","1_oneobject",83.88,19.4,15.2,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-4.2
"401","401","choi2018","1_oneobject",96.32,11.55,38.05,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",26.5
"402","402","choi2018","1_oneobject",117.32,21.65,27.25,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",5.6
"403","403","choi2018","1_oneobject",75.88,6.2,7.65,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",1.45
"404","404","choi2018","1_oneobject",111.32,8.7,7.25,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-1.45
"405","405","choi2018","1_oneobject",89.88,12.35,8.4,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-3.95
"406","406","choi2018","1_oneobject",127.76,6.6,7.95,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",1.35
"407","407","choi2018","1_oneobject",84.88,32.65,28.2,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-4.45
"408","408","choi2018","1_oneobject",118.32,37.25,34.15,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-3.1
"409","409","choi2018","1_oneobject",123.76,27.1,15.35,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-11.75
"410","410","choi2018","1_oneobject",92.32,12.35,11.85,"m","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-0.5
"411","411","choi2018","1_oneobject",111.32,6.9,14.8,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",7.9
"412","412","choi2018","1_oneobject",92.32,33.15,7.95,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-25.2
"413","413","choi2018","1_oneobject",75.88,17.3,12.5,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-4.8
"414","414","choi2018","1_oneobject",92.32,12.45,40.8,"f","1","1_oneobject","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",28.35
"415","415","choi2018","1_hidden",85.88,34.95,12.1,"m","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-22.85
"416","416","choi2018","1_hidden",92.32,33.75,37.7,"m","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",3.95
"417","417","choi2018","1_hidden",79.88,60,30.35,"m","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-29.65
"418","418","choi2018","1_hidden",75.88,58.1,60,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",1.9
"419","419","choi2018","1_hidden",119.32,6.9,9,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",2.1
"420","420","choi2018","1_hidden",84.88,12,26.4,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",14.4
"421","421","choi2018","1_hidden",113.32,10.9,10.9,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",0
"422","422","choi2018","1_hidden",117.32,11,20.4,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",9.4
"423","423","choi2018","1_hidden",86.88,8.3,10.25,"m","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",1.95
"424","424","choi2018","1_hidden",75.88,6.6,21.6,"m","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",15
"425","425","choi2018","1_hidden",121.76,15.5,17.65,"m","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",2.15
"426","426","choi2018","1_hidden",95.32,42,39.75,"m","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-2.25
"427","427","choi2018","1_hidden",110.32,32.9,12.7,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-20.2
"428","428","choi2018","1_hidden",95.32,33.85,14.65,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-19.2
"429","429","choi2018","1_hidden",120.32,31.7,31.9,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",0.199999999999999
"430","430","choi2018","1_hidden",110.32,12.95,7.55,"f","1","1_hidden","goals","no","none","bare",NA,"yes","no","yes","yes","person","luo",-5.4
"431","431","liu2019","3_statechangebarrier",122,10.6,13.733333,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",3.133333
"432","432","liu2019","3_statechangebarrier",91,35.833333,34.1,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",-1.733333
"433","433","liu2019","3_statechangebarrier",113,8.533333,16,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",7.466667
"434","434","liu2019","3_statechangebarrier",95,24.733333,25.9,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",1.166667
"435","435","liu2019","3_statechangebarrier",103,16.3,26.866667,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",10.566667
"436","436","liu2019","3_statechangebarrier",104,9.733333,9.333333,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",-0.4
"437","437","liu2019","3_statechangebarrier",118,13.366667,15.766667,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",2.4
"438","438","liu2019","3_statechangebarrier",111,11.533333,20.566667,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",9.033334
"439","439","liu2019","3_statechangebarrier",97,18.066667,6.833333,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",-11.233334
"440","440","liu2019","3_statechangebarrier",122,11.433333,19.766667,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",8.333334
"441","441","liu2019","3_statechangebarrier",121,8.6,11.266667,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",2.666667
"442","442","liu2019","3_statechangebarrier",106,17.566667,13.766667,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",-3.8
"443","443","liu2019","3_statechangebarrier",114,5.533333,5.133333,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",-0.399999999999999
"444","444","liu2019","3_statechangebarrier",102,3.066667,7.366667,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",4.3
"445","445","liu2019","3_statechangebarrier",94,7.8,21.7,"m","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",13.9
"446","446","liu2019","3_statechangebarrier",98,3.7,5,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",1.3
"447","447","liu2019","3_statechangebarrier",96,12.366667,12.833333,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",0.466666
"448","448","liu2019","3_statechangebarrier",107,6.3,12.9,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",6.6
"449","449","liu2019","3_statechangebarrier",115,10.333333,17.3,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",6.966667
"450","450","liu2019","3_statechangebarrier",113,11.966667,12.833333,"f","3","3_statechangebarrier","constraints","no","state_change","gloved","yes",NA,"yes",NA,NA,"person","spelke",0.866666
"451","451","liu2019","3_statechangenobarrier",100,22,8.1,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-13.9
"452","452","liu2019","3_statechangenobarrier",101,29.246667,20.67,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-8.576667
"453","453","liu2019","3_statechangenobarrier",121,7.2,4.433333,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-2.766667
"454","454","liu2019","3_statechangenobarrier",112,7.3,5.033333,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-2.266667
"455","455","liu2019","3_statechangenobarrier",122,4.933333,3.2,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-1.733333
"456","456","liu2019","3_statechangenobarrier",112,9.433333,7.966667,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-1.466666
"457","457","liu2019","3_statechangenobarrier",104,10.433333,10.7,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",0.266667
"458","458","liu2019","3_statechangenobarrier",114,11.7,12.6,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",0.9
"459","459","liu2019","3_statechangenobarrier",112,4.266667,5.6,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",1.333333
"460","460","liu2019","3_statechangenobarrier",105,4.7,6.2,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",1.5
"461","461","liu2019","3_statechangenobarrier",93,10.4,5.233333,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-5.166667
"462","462","liu2019","3_statechangenobarrier",91,28.366667,16.7,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-11.666667
"463","463","liu2019","3_statechangenobarrier",113,5.833333,6.833333,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",1
"464","464","liu2019","3_statechangenobarrier",93,13.5,31.566667,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",18.066667
"465","465","liu2019","3_statechangenobarrier",121,5.066667,5.533333,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",0.466666
"466","466","liu2019","3_statechangenobarrier",122,6.7,6.233333,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-0.466667
"467","467","liu2019","3_statechangenobarrier",118,5.8,4.9,"m","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-0.899999999999999
"468","468","liu2019","3_statechangenobarrier",101,7.566667,4.466667,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",-3.1
"469","469","liu2019","3_statechangenobarrier",115,1.79,2.223333,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",0.433333
"470","470","liu2019","3_statechangenobarrier",95,5.833333,7.566667,"f","3","3_statechangenobarrier","constraints","no","state_change","gloved","no",NA,"yes",NA,NA,"person","spelke",1.733334
"471","471","liu2019","4_statechangenotcausal",109,8.67,11.17,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",2.5
"472","472","liu2019","4_statechangenotcausal",112,5.3,3.7,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-1.6
"473","473","liu2019","4_statechangenotcausal",104,18.2,7.1,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-11.1
"474","474","liu2019","4_statechangenotcausal",99,18.5,15.3,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-3.2
"475","475","liu2019","4_statechangenotcausal",104,17.03,10.43,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-6.6
"476","476","liu2019","4_statechangenotcausal",93,6.33,6.9,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",0.57
"477","477","liu2019","4_statechangenotcausal",107,9.27,6.93,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-2.34
"478","478","liu2019","4_statechangenotcausal",121,8.93,7.13,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-1.8
"479","479","liu2019","4_statechangenotcausal",102,8.03,16.9,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",8.87
"480","480","liu2019","4_statechangenotcausal",107,12,18.67,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",6.67
"481","481","liu2019","4_statechangenotcausal",107,13.63,35.27,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",21.64
"482","482","liu2019","4_statechangenotcausal",118,9.67,9.3,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-0.369999999999999
"483","483","liu2019","4_statechangenotcausal",120,26.83,24.2,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-2.63
"484","484","liu2019","4_statechangenotcausal",114,31.37,16.67,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-14.7
"485","485","liu2019","4_statechangenotcausal",97,34.83,11.1,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-23.73
"486","486","liu2019","4_statechangenotcausal",98,21.53,18.73,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-2.8
"487","487","liu2019","4_statechangenotcausal",107,7.83,12.03,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",4.2
"488","488","liu2019","4_statechangenotcausal",121,35.97,31.3,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-4.67
"489","489","liu2019","4_statechangenotcausal",95,23.7,20.93,"f","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-2.77
"490","490","liu2019","4_statechangenotcausal",99,9.97,22.37,"m","4","4_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",12.4
"491","491","liu2019","5_statechangenotcausal",95,12.92,3.93,"m","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-8.99
"492","492","liu2019","5_statechangenotcausal",112,4.1,3.1,"f","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-1
"493","493","liu2019","5_statechangenotcausal",120,6.62,6.56,"m","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-0.0600000000000005
"494","494","liu2019","5_statechangenotcausal",99,12.54,6.09,"f","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-6.45
"495","495","liu2019","5_statechangenotcausal",113,25.44,8.94,"m","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-16.5
"496","496","liu2019","5_statechangenotcausal",119,3.23,10.12,"m","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",6.89
"497","497","liu2019","5_statechangenotcausal",93,7.39,8.9,"m","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",1.51
"498","498","liu2019","5_statechangenotcausal",112,45,37.39,"m","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",-7.61
"499","499","liu2019","5_statechangenotcausal",106,7.6,15.16,"m","5","5_statechangenotcausal","constraints","no","state_change","gloved","yes",NA,"no",NA,NA,"person","spelke",7.56
