"75","4_constrainedactionhabituation",118,5.1,6.833333,"f","X[[i]]"
"76","4_constrainedactionhabituation",118,10.366667,19.033333,"m","X[[i]]"
"77","4_constrainedactionhabituation",98,5.766667,16.633333,"m","X[[i]]"
"78","4_constrainedactionhabituation",96,2.866667,5.933333,"m","X[[i]]"
"79","4_constrainedactionhabituation",95,9.333333,6.8,"m","X[[i]]"
"80","4_constrainedactionhabituation",111,12.133333,12.633333,"f","X[[i]]"
"81","4_constrainedactionhabituation",110,9.133333,11.3,"f","X[[i]]"
"82","4_constrainedactionhabituation",97,6.233333,8,"f","X[[i]]"
"83","4_constrainedactionhabituation",93,11.666667,19.033333,"f","X[[i]]"
"84","4_constrainedactionhabituation",118,7.566667,6.366667,"m","X[[i]]"
"85","4_constrainedactionhabituation",112,9.733333,6.3,"f","X[[i]]"
"86","4_constrainedactionhabituation",103,20.7,25.866667,"m","X[[i]]"
"87","5_unconstrainedactionhabituation",93,6.2,11.966667,"f","X[[i]]"
"88","5_unconstrainedactionhabituation",114,6.4,9.333333,"f","X[[i]]"
"89","5_unconstrainedactionhabituation",110,9.933333,15.5,"m","X[[i]]"
"90","5_unconstrainedactionhabituation",98,35.466667,39.933333,"f","X[[i]]"
"91","5_unconstrainedactionhabituation",103,9.066667,6.866667,"m","X[[i]]"
"92","5_unconstrainedactionhabituation",114,19.4,14.533333,"f","X[[i]]"
"93","5_unconstrainedactionhabituation",100,19.4,12.433333,"f","X[[i]]"
"94","5_unconstrainedactionhabituation",111,28.333333,22.766667,"m","X[[i]]"
"95","5_unconstrainedactionhabituation",109,6.3,5.733333,"m","X[[i]]"
"96","5_unconstrainedactionhabituation",98,45,45,"m","X[[i]]"
"97","5_unconstrainedactionhabituation",102,5.5,3.966667,"f","X[[i]]"
"98","5_unconstrainedactionhabituation",106,12.433333,8.2,"f","X[[i]]"
"99","5_unconstrainedactionhabituation",105,9.033333,10.933333,"f","X[[i]]"
"100","5_unconstrainedactionhabituation",115,6.866667,8.433333,"m","X[[i]]"
