subj,paper,MA_condition,ageday,exp_look,unexp_look,sex
186,gerson2014a,1_Observation,110.4972,3.2,5.8,female
187,gerson2014a,1_Observation,98.3212,8.21,4.15,male
188,gerson2014a,1_Observation,110.4972,2.34,3.01,male
189,gerson2014a,1_Observation,99.5388,3.3,2.07,female
190,gerson2014a,1_Observation,119.6292,4.93,14.53,male
191,gerson2014a,1_Observation,106.54,3.35,1.59,male
192,gerson2014a,1_Observation,110.4972,2.45,1.79,female
193,gerson2014a,1_Observation,105.6268,6.46,5.57,female
194,gerson2014a,1_Observation,116.5852,3.37,6.92,female
195,gerson2014a,1_Observation,91.32,33.88,10.43,female
196,gerson2014a,1_Observation,121.76,1.73,1.61,male
197,gerson2014a,1_Control,108.6708,12.48,3.38,male
198,gerson2014a,1_Control,104.4092,24.05,13.22,female
199,gerson2014a,1_Control,108.6708,32.4,17.9,female
200,gerson2014a,1_Control,91.32,4.53,9.64,female
201,gerson2014a,1_Control,106.54,20.14,3.03,female
202,gerson2014a,1_Control,100.452,1.32,6.3,female
203,gerson2014a,1_Control,94.364,13.9,28.39,male
204,gerson2014a,1_Control,92.2332,9.74,3.83,male
205,gerson2014a,1_Control,95.2772,9.32,8.64,female
206,gerson2014a,1_Control,100.452,2.36,1.31,male
207,gerson2014a,1_Control,103.496,6.88,9.21,female
208,gerson2014a,1_Control,110.4972,2.99,3.82,male
209,gerson2014a,1_Control,120.8468,32.25,24.87,male
210,gerson2014a,1_Control,100.452,2.1,2.8,male
211,gerson2014a,1_Control,118.716,1.33,3.13,male
212,gerson2014a,1_Control,107.4532,7.5,2.94,male
213,gerson2014a,1_Control,104.4092,3.78,6.68,male
214,gerson2014a,1_Control,109.584,4.19,5.16,male
215,gerson2014a,1_Control,103.496,1.7,2.67,female
216,gerson2014a,1_Control,104.4092,3.87,6.24,female
217,gerson2014a,1_Control,108.6708,2.01,0.58,female
218,gerson2014a,1_Control,100.452,35.46,17.86,female
219,gerson2014a,1_Control,104.4092,12.17,8.71,male
220,gerson2014a,1_Control,114.7588,5.26,1.77,female
221,gerson2014b,1_Active,106.54,2.81,5.36,f
222,gerson2014b,1_Active,98.3212,5.89,4.24,m
223,gerson2014b,1_Active,119.6292,4.48,18.61,m
224,gerson2014b,1_Active,104.4092,3.99,2.15,f
225,gerson2014b,1_Active,116.5852,2.29,6.68,f
226,gerson2014b,1_Active,105.6268,5.89,16.85,f
227,gerson2014b,1_Active,96.4948,3.67,4.5,m
228,gerson2014b,1_Active,106.54,6.49,7.95,m
229,gerson2014b,1_Active,116.5852,5.42,12.54,m
230,gerson2014b,1_Active,125.7172,3.42,2.25,f
231,gerson2014b,1_Active,113.5412,1.97,1.95,f
232,gerson2014b,1_Active,119.6292,9.08,14.44,m
233,gerson2014b,1_Active,104.4092,4.72,10.55,f
