Relabeled.Script,Script,Subject.ID,Sex,Age.Month,Age.Day,Age.Decimal,Preferred.Object,PO.Starting.Location,PO.Test.Side,PO.Test.Order,Video.Quality,Device,LT,Type,TrialPair,Trial.N
7b,3,p35,F,3,18,3.6,Ball,R,L,1,5,Laptop,14.35,Different_Object,Pair 2,4
5b,2,p34,M,3,22,3.733333333,Ball,L,R,2,5,Laptop,5.17,Different_Object,Pair 2,3
8c,2,p42,M,3,0,3,Ball,L,R,2,5,Laptop,50.81,Different_Object,Pair 2,3
1c,4,p47,M,3,0,3,Ball,R,L,2,5,Laptop,61.71,Different_Object,Pair 2,3
4c,8,p41,M,3,7,3.233333333,Bear,R,L,2,5,Laptop,24.04,Different_Object,Pair 2,3
5a,4,p27,M,3,7,3.233333333,Ball,R,L,2,3,Laptop,18.82,Different_Object,Pair 2,3
2a,2,p26,M,3,28,3.933333333,Ball,L,R,2,5,Laptop with monitor,4.68,Different_Object,Pair 2,3
6a,1,p28,F,3,5,3.166666667,Ball,L,R,1,5,Laptop,5.51,Different_Object,Pair 2,4
7a,6,p32,M,3,23,3.766666667,Bear,L,R,2,5,Laptop,6.99,Different_Object,Pair 2,3
4b,5,p33,M,3,4,3.133333333,Bear,L,R,1,5,Laptop,10.15,Different_Object,Pair 2,4
3a,8,p25,M,4,0,4,Bear,R,L,2,5,Laptop,22.45,Different_Object,Pair 2,3
3b,1,p38,M,3,20,3.666666667,Ball,L,R,1,4,Laptop,10.63,Different_Object,Pair 2,4
2b,8,p30,F,3,24,3.8,Bear,R,L,2,5,Laptop,3.66,Different_Object,Pair 2,3
7c,1,p43,M,3,5,3.166666667,Ball,L,R,1,5,Laptop,2,Different_Object,Pair 2,4
5c,7,p44,F,3,30,4,Bear,R,L,1,4,Laptop,7.79,Different_Object,Pair 2,4
6b,7,p39,M,3,8,3.266666667,Bear,R,L,1,5,Laptop,3.29,Different_Object,Pair 2,4
2c,6,p40,F,3,6,3.2,Bear,L,R,2,4.5,Laptop,18.97,Different_Object,Pair 2,3
8b,6,p37,M,3,5,3.166666667,Bear,L,R,2,5,Laptop,17.75,Different_Object,Pair 2,3
6c,3,p46,M,3,18,3.6,Ball,R,L,1,4,Laptop,5.23,Different_Object,Pair 2,4
4a,5,p29,F,3,6,3.2,Bear,L,R,1,5,Laptop,10.12,Different_Object,Pair 2,4
3c,5,p43,M,3,3,3.1,Bear,L,R,1,3.5,Desktop,50.76,Different_Object,Pair 2,4
1b,4,p36,F,3,22,3.733333333,Ball,R,L,2,4,Laptop,6.71,Different_Object,Pair 2,3
1a,3,p31,F,3,6,3.2,Ball,R,L,1,5,Laptop,2.16,Different_Object,Pair 3,6
8a,7,p24,F,3,9,3.3,Bear,R,L,1,4,Laptop,4.08,Different_Object,Pair 3,6
7b,3,p35,F,3,18,3.6,Ball,R,L,1,5,Laptop,6.25,Different_Object,Pair 3,6
5b,2,p34,M,3,22,3.733333333,Ball,L,R,2,5,Laptop,3.24,Different_Object,Pair 3,5
8c,2,p42,M,3,0,3,Ball,L,R,2,5,Laptop,80.74,Different_Object,Pair 3,5
1c,4,p47,M,3,0,3,Ball,R,L,2,5,Laptop,4.24,Different_Object,Pair 3,5
4c,8,p41,M,3,7,3.233333333,Bear,R,L,2,5,Laptop,3.9,Different_Object,Pair 3,5
5a,4,p27,M,3,7,3.233333333,Ball,R,L,2,3,Laptop,5.5,Different_Object,Pair 3,5
2a,2,p26,M,3,28,3.933333333,Ball,L,R,2,5,Laptop with monitor,2.47,Different_Object,Pair 3,5
